,Points,Claim,participant,Condition
0,-20,P1,par0,C
1,20,P1,par1,D
2,-20,P1,par2,D
3,20,P1,par3,D
4,16,P1,par4,D
5,-17,P1,par5,C
6,19,P1,par6,C
7,-10,P1,par7,D
8,-15,P1,par8,D
9,20,P1,par9,D
10,10,P1,par10,D
11,20,P1,par11,C
12,16,P1,par12,D
13,-12,P1,par13,D
14,20,P1,par14,D
15,14,P1,par15,D
16,18,P1,par16,D
17,7,P1,par17,C
18,-16,P1,par18,D
19,-16,P1,par19,D
20,-16,P1,par20,D
21,16,P1,par21,C
22,20,P1,par22,C
23,-14,P1,par23,C
24,12,P1,par24,C
25,10,P1,par25,C
26,-16,P1,par26,C
27,20,P1,par27,D
28,20,P1,par28,C
29,20,P1,par29,C
30,20,P1,par30,C
31,20,P1,par31,D
32,16,P1,par32,C
33,17,P1,par33,D
34,-1,P1,par34,D
35,13,P1,par35,C
36,-14,P1,par36,C
37,20,P1,par37,D
38,-14,P1,par38,D
39,20,P1,par39,C
40,-16,P1,par40,D
41,10,P1,par41,C
42,12,P1,par42,C
43,-20,P1,par43,D
44,12,P1,par44,C
45,11,P1,par45,C
46,-20,P1,par46,C
47,-13,P1,par47,D
48,-12,P1,par48,D
49,-10,P1,par49,D
50,20,P1,par50,D
51,20,P1,par51,D
52,-16,P1,par52,D
53,-13,P1,par53,C
54,-20,P1,par54,D
55,13,P1,par55,D
56,7,P1,par56,C
57,18,P1,par57,D
58,19,P1,par58,D
59,20,P1,par59,D
60,20,P1,par60,D
61,17,P1,par61,C
62,-11,P1,par62,C
63,-10,P1,par63,C
64,-12,P1,par64,C
65,-17,P1,par65,D
66,13,P1,par66,C
67,-15,P1,par67,D
68,19,P1,par68,C
69,20,P1,par69,D
70,17,P1,par70,D
71,-16,P1,par71,D
72,15,P1,par72,C
73,-15,P1,par73,C
74,20,P1,par74,D
75,-19,P1,par75,C
76,20,P1,par76,C
77,15,P1,par77,C
78,20,P1,par78,D
79,20,P1,par79,D
80,15,P1,par80,C
81,-11,P1,par81,C
82,-16,P1,par82,D
83,20,P1,par83,D
84,-12,P1,par84,D
85,14,P1,par85,D
86,15,P1,par86,D
87,20,P1,par87,C
88,16,P1,par88,C
89,14,P1,par89,C
90,14,P1,par90,D
91,18,P1,par91,D
92,16,P1,par92,C
93,18,P1,par93,D
94,-20,P1,par94,D
95,18,P1,par95,D
96,-12,P1,par96,C
97,-12,P1,par97,D
98,-20,P1,par98,C
99,20,P1,par99,C
100,-16,P1,par100,C
101,17,P1,par101,D
102,3,P1,par102,C
103,20,P1,par103,C
104,10,P1,par104,D
105,18,P1,par105,D
106,-12,P1,par106,C
107,-12,P1,par107,C
108,-13,P1,par108,C
109,-20,P2,par0,C
110,20,P2,par1,D
111,16,P2,par2,D
112,20,P2,par3,D
113,7,P2,par4,D
114,-15,P2,par5,C
115,20,P2,par6,C
116,10,P2,par7,D
117,-14,P2,par8,D
118,20,P2,par9,D
119,20,P2,par10,D
120,-5,P2,par11,C
121,19,P2,par12,D
122,15,P2,par13,D
123,20,P2,par14,D
124,-14,P2,par15,D
125,19,P2,par16,D
126,-11,P2,par17,C
127,-16,P2,par18,D
128,-12,P2,par19,D
129,20,P2,par20,D
130,20,P2,par21,C
131,20,P2,par22,C
132,15,P2,par23,C
133,15,P2,par24,C
134,12,P2,par25,C
135,-10,P2,par26,C
136,20,P2,par27,D
137,20,P2,par28,C
138,20,P2,par29,C
139,20,P2,par30,C
140,20,P2,par31,D
141,10,P2,par32,C
142,20,P2,par33,D
143,20,P2,par34,D
144,-12,P2,par35,C
145,-20,P2,par36,C
146,20,P2,par37,D
147,-11,P2,par38,D
148,20,P2,par39,C
149,-19,P2,par40,D
150,16,P2,par41,C
151,17,P2,par42,C
152,-10,P2,par43,D
153,20,P2,par44,C
154,-14,P2,par45,C
155,-20,P2,par46,C
156,-10,P2,par47,D
157,-15,P2,par48,D
158,0,P2,par49,D
159,20,P2,par50,D
160,20,P2,par51,D
161,20,P2,par52,D
162,13,P2,par53,C
163,-20,P2,par54,D
164,15,P2,par55,D
165,5,P2,par56,C
166,20,P2,par57,D
167,19,P2,par58,D
168,20,P2,par59,D
169,20,P2,par60,D
170,19,P2,par61,C
171,-20,P2,par62,C
172,-14,P2,par63,C
173,16,P2,par64,C
174,-13,P2,par65,D
175,20,P2,par66,C
176,20,P2,par67,D
177,20,P2,par68,C
178,20,P2,par69,D
179,20,P2,par70,D
180,-15,P2,par71,D
181,20,P2,par72,C
182,13,P2,par73,C
183,20,P2,par74,D
184,18,P2,par75,C
185,20,P2,par76,C
186,-18,P2,par77,C
187,-20,P2,par78,D
188,4,P2,par79,D
189,16,P2,par80,C
190,-10,P2,par81,C
191,14,P2,par82,D
192,20,P2,par83,D
193,18,P2,par84,D
194,16,P2,par85,D
195,20,P2,par86,D
196,20,P2,par87,C
197,20,P2,par88,C
198,-15,P2,par89,C
199,20,P2,par90,D
200,20,P2,par91,D
201,-17,P2,par92,C
202,19,P2,par93,D
203,20,P2,par94,D
204,10,P2,par95,D
205,-10,P2,par96,C
206,13,P2,par97,D
207,-14,P2,par98,C
208,5,P2,par99,C
209,-20,P2,par100,C
210,16,P2,par101,D
211,-17,P2,par102,C
212,20,P2,par103,C
213,20,P2,par104,D
214,-16,P2,par105,D
215,-9,P2,par106,C
216,-10,P2,par107,C
217,10,P2,par108,C
218,20,P3,par0,C
219,-20,P3,par1,D
220,20,P3,par2,D
221,-20,P3,par3,D
222,-20,P3,par4,D
223,-16,P3,par5,C
224,-14,P3,par6,C
225,12,P3,par7,D
226,-12,P3,par8,D
227,-15,P3,par9,D
228,-7,P3,par10,D
229,-17,P3,par11,C
230,12,P3,par12,D
231,-7,P3,par13,D
232,-20,P3,par14,D
233,6,P3,par15,D
234,-20,P3,par16,D
235,-13,P3,par17,C
236,-18,P3,par18,D
237,-15,P3,par19,D
238,-20,P3,par20,D
239,-20,P3,par21,C
240,10,P3,par22,C
241,15,P3,par23,C
242,-16,P3,par24,C
243,-14,P3,par25,C
244,12,P3,par26,C
245,20,P3,par27,D
246,-20,P3,par28,C
247,-20,P3,par29,C
248,-20,P3,par30,C
249,-10,P3,par31,D
250,-17,P3,par32,C
251,-14,P3,par33,D
252,1,P3,par34,D
253,15,P3,par35,C
254,20,P3,par36,C
255,20,P3,par37,D
256,-10,P3,par38,D
257,-20,P3,par39,C
258,20,P3,par40,D
259,-16,P3,par41,C
260,-14,P3,par42,C
261,10,P3,par43,D
262,-20,P3,par44,C
263,16,P3,par45,C
264,-7,P3,par46,C
265,10,P3,par47,D
266,10,P3,par48,D
267,10,P3,par49,D
268,-20,P3,par50,D
269,-20,P3,par51,D
270,-20,P3,par52,D
271,-18,P3,par53,C
272,-18,P3,par54,D
273,-15,P3,par55,D
274,-14,P3,par56,C
275,-16,P3,par57,D
276,-15,P3,par58,D
277,-20,P3,par59,D
278,-20,P3,par60,D
279,-17,P3,par61,C
280,-10,P3,par62,C
281,-20,P3,par63,C
282,-15,P3,par64,C
283,-14,P3,par65,D
284,-20,P3,par66,C
285,11,P3,par67,D
286,-20,P3,par68,C
287,-20,P3,par69,D
288,-3,P3,par70,D
289,15,P3,par71,D
290,0,P3,par72,C
291,-12,P3,par73,C
292,-15,P3,par74,D
293,-20,P3,par75,C
294,-15,P3,par76,C
295,-16,P3,par77,C
296,-20,P3,par78,D
297,-20,P3,par79,D
298,-16,P3,par80,C
299,-12,P3,par81,C
300,-13,P3,par82,D
301,10,P3,par83,D
302,17,P3,par84,D
303,10,P3,par85,D
304,-2,P3,par86,D
305,-20,P3,par87,C
306,-20,P3,par88,C
307,-6,P3,par89,C
308,-20,P3,par90,D
309,12,P3,par91,D
310,-15,P3,par92,C
311,-14,P3,par93,D
312,15,P3,par94,D
313,-18,P3,par95,D
314,9,P3,par96,C
315,15,P3,par97,D
316,20,P3,par98,C
317,-5,P3,par99,C
318,6,P3,par100,C
319,-20,P3,par101,D
320,-16,P3,par102,C
321,-20,P3,par103,C
322,-5,P3,par104,D
323,-17,P3,par105,D
324,-9,P3,par106,C
325,-10,P3,par107,C
326,-14,P3,par108,C
327,20,P4,par0,C
328,20,P4,par1,D
329,12,P4,par2,D
330,20,P4,par3,D
331,10,P4,par4,D
332,16,P4,par5,C
333,19,P4,par6,C
334,-10,P4,par7,D
335,12,P4,par8,D
336,20,P4,par9,D
337,10,P4,par10,D
338,20,P4,par11,C
339,7,P4,par12,D
340,20,P4,par13,D
341,20,P4,par14,D
342,20,P4,par15,D
343,15,P4,par16,D
344,15,P4,par17,C
345,19,P4,par18,D
346,-5,P4,par19,D
347,20,P4,par20,D
348,20,P4,par21,C
349,-20,P4,par22,C
350,10,P4,par23,C
351,11,P4,par24,C
352,14,P4,par25,C
353,20,P4,par26,C
354,20,P4,par27,D
355,20,P4,par28,C
356,20,P4,par29,C
357,15,P4,par30,C
358,20,P4,par31,D
359,-16,P4,par32,C
360,16,P4,par33,D
361,11,P4,par34,D
362,20,P4,par35,C
363,20,P4,par36,C
364,20,P4,par37,D
365,19,P4,par38,D
366,20,P4,par39,C
367,20,P4,par40,D
368,15,P4,par41,C
369,15,P4,par42,C
370,-12,P4,par43,D
371,16,P4,par44,C
372,18,P4,par45,C
373,10,P4,par46,C
374,12,P4,par47,D
375,-14,P4,par48,D
376,0,P4,par49,D
377,20,P4,par50,D
378,20,P4,par51,D
379,10,P4,par52,D
380,18,P4,par53,C
381,20,P4,par54,D
382,-5,P4,par55,D
383,12,P4,par56,C
384,9,P4,par57,D
385,19,P4,par58,D
386,20,P4,par59,D
387,20,P4,par60,D
388,19,P4,par61,C
389,20,P4,par62,C
390,20,P4,par63,C
391,18,P4,par64,C
392,16,P4,par65,D
393,-20,P4,par66,C
394,-16,P4,par67,D
395,20,P4,par68,C
396,20,P4,par69,D
397,10,P4,par70,D
398,-16,P4,par71,D
399,20,P4,par72,C
400,18,P4,par73,C
401,20,P4,par74,D
402,17,P4,par75,C
403,20,P4,par76,C
404,20,P4,par77,C
405,20,P4,par78,D
406,0,P4,par79,D
407,13,P4,par80,C
408,12,P4,par81,C
409,14,P4,par82,D
410,-10,P4,par83,D
411,16,P4,par84,D
412,20,P4,par85,D
413,-5,P4,par86,D
414,14,P4,par87,C
415,20,P4,par88,C
416,17,P4,par89,C
417,20,P4,par90,D
418,20,P4,par91,D
419,-12,P4,par92,C
420,16,P4,par93,D
421,20,P4,par94,D
422,10,P4,par95,D
423,15,P4,par96,C
424,-17,P4,par97,D
425,20,P4,par98,C
426,5,P4,par99,C
427,-8,P4,par100,C
428,19,P4,par101,D
429,16,P4,par102,C
430,20,P4,par103,C
431,3,P4,par104,D
432,17,P4,par105,D
433,-9,P4,par106,C
434,10,P4,par107,C
435,13,P4,par108,C
436,20,P5,par0,C
437,20,P5,par1,D
438,18,P5,par2,D
439,15,P5,par3,D
440,10,P5,par4,D
441,19,P5,par5,C
442,13,P5,par6,C
443,-10,P5,par7,D
444,12,P5,par8,D
445,20,P5,par9,D
446,10,P5,par10,D
447,20,P5,par11,C
448,20,P5,par12,D
449,20,P5,par13,D
450,20,P5,par14,D
451,20,P5,par15,D
452,19,P5,par16,D
453,12,P5,par17,C
454,16,P5,par18,D
455,-14,P5,par19,D
456,20,P5,par20,D
457,20,P5,par21,C
458,-10,P5,par22,C
459,20,P5,par23,C
460,15,P5,par24,C
461,14,P5,par25,C
462,20,P5,par26,C
463,20,P5,par27,D
464,20,P5,par28,C
465,20,P5,par29,C
466,20,P5,par30,C
467,20,P5,par31,D
468,16,P5,par32,C
469,19,P5,par33,D
470,-1,P5,par34,D
471,-3,P5,par35,C
472,20,P5,par36,C
473,20,P5,par37,D
474,20,P5,par38,D
475,20,P5,par39,C
476,10,P5,par40,D
477,16,P5,par41,C
478,15,P5,par42,C
479,20,P5,par43,D
480,15,P5,par44,C
481,20,P5,par45,C
482,16,P5,par46,C
483,15,P5,par47,D
484,8,P5,par48,D
485,10,P5,par49,D
486,20,P5,par50,D
487,17,P5,par51,D
488,20,P5,par52,D
489,19,P5,par53,C
490,11,P5,par54,D
491,13,P5,par55,D
492,15,P5,par56,C
493,15,P5,par57,D
494,19,P5,par58,D
495,20,P5,par59,D
496,20,P5,par60,D
497,16,P5,par61,C
498,20,P5,par62,C
499,20,P5,par63,C
500,14,P5,par64,C
501,0,P5,par65,D
502,-6,P5,par66,C
503,14,P5,par67,D
504,14,P5,par68,C
505,20,P5,par69,D
506,20,P5,par70,D
507,16,P5,par71,D
508,0,P5,par72,C
509,20,P5,par73,C
510,20,P5,par74,D
511,20,P5,par75,C
512,20,P5,par76,C
513,15,P5,par77,C
514,20,P5,par78,D
515,-14,P5,par79,D
516,12,P5,par80,C
517,17,P5,par81,C
518,15,P5,par82,D
519,10,P5,par83,D
520,16,P5,par84,D
521,20,P5,par85,D
522,-20,P5,par86,D
523,20,P5,par87,C
524,20,P5,par88,C
525,-10,P5,par89,C
526,20,P5,par90,D
527,20,P5,par91,D
528,-20,P5,par92,C
529,18,P5,par93,D
530,-10,P5,par94,D
531,15,P5,par95,D
532,20,P5,par96,C
533,18,P5,par97,D
534,20,P5,par98,C
535,16,P5,par99,C
536,12,P5,par100,C
537,16,P5,par101,D
538,14,P5,par102,C
539,20,P5,par103,C
540,2,P5,par104,D
541,16,P5,par105,D
542,-9,P5,par106,C
543,-10,P5,par107,C
544,13,P5,par108,C
